"2Performant","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/2Performant/total_downloads.json)"
"2cdn","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/2cdn/total_downloads.json)"
"2do","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/2do/total_downloads.json)"
"2f8f3e622677ba4708ba03f87ba7b41e","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/2f8f3e622677ba4708ba03f87ba7b41e/total_downloads.json)"
"2fa","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/2fa/total_downloads.json)"
"2gis","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/2gis/total_downloads.json)"
"2n-patterns","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/2n-patterns/total_downloads.json)"
"2pass","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/2pass/total_downloads.json)"
"360_services","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/360_services/total_downloads.json)"
"37-pieces-of-flair","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/37-pieces-of-flair/total_downloads.json)"
"37_pieces-of-flair","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/37_pieces-of-flair/total_downloads.json)"
"3d-ribbon","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/3d-ribbon/total_downloads.json)"
"3d_cache","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/3d_cache/total_downloads.json)"
"3dmf","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/3dmf/total_downloads.json)"
"3jam","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/3jam/total_downloads.json)"
"3llo","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/3llo/total_downloads.json)"
"3mix-castronaut","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/3mix-castronaut/total_downloads.json)"
"3months-staff-schedule","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/3months-staff-schedule/total_downloads.json)"
"3months-staff_schedule","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/3months-staff_schedule/total_downloads.json)"
"3months_staff_schedule","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/3months_staff_schedule/total_downloads.json)"
"3scale-3scale_ws_api","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/3scale-3scale_ws_api/total_downloads.json)"
"3scale-3scale_ws_api_for_ruby","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/3scale-3scale_ws_api_for_ruby/total_downloads.json)"
"3scale-api","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/3scale-api/total_downloads.json)"
"3scale-client","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/3scale-client/total_downloads.json)"
"3scale-time-range","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/3scale-time-range/total_downloads.json)"
"3scale-time_range","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/3scale-time_range/total_downloads.json)"
"3scale_api","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/3scale_api/total_downloads.json)"
"3scale_client","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/3scale_client/total_downloads.json)"
"3scale_management_client","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/3scale_management_client/total_downloads.json)"
"3scale_onboard_automation","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/3scale_onboard_automation/total_downloads.json)"
"3scale_time_range","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/3scale_time_range/total_downloads.json)"
"3scale_toolbox","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/3scale_toolbox/total_downloads.json)"
