name,total_downloads,daily_downloads
active_annotation,3095,0
active_annotations,22065,0
activeantipattern,1726,0
active_any,9101,0
activeapi,14537,0
active_api,21486,0
active_application,34881,0
active_archive,50950,4
active_archiver,9555,0
active-asari,4004,0
active_asset,1439,1
active_assets,167307,5
activeasync,28294,0
active_attack,4303,0
active_attr,4599043,622
active_attr_extended,4576,0
active_attributes,5354,0
activeaudit,38179,0
active_audit,4224,0
active-audit,13414,0
activeaws,2666,0
active_aws,2639,0
active_bacon,3680,0
active_batch,8380,0
active_beaneater,4115,0
active-behavior,15450,0
active_blocks,2413,0
active_blog,46908,1
active_blur,8767,0
active_bomb,9119,0
active_bookings,2060,1
active_bootstrap_skin,27681,3
active_brainz,2513,6
active_breadcrumbs,16361,0
activebroadcast,766,0
active_bugzilla,6831,0
active_builder,2069,0
active_cabinet,3830,2
active_cache,16653,0
active_cacher,3112,0
active_campaign,178302,41
active_campaign_crm,5404,0
active-campaign-rails,215972,15
active_campaign_ruby,1263,0
active_campaign_webhooks,5323,0
active_campaign_wrapper,3404,9
active_cart,157737,0
active-cart,8132,0
active_cash,5662,0
active_charts,1449,0
activechronology,3793,0
activecleaner,54833,2
active_client,332,2
active_cmis,201580,0
active_cmis2,1076,3
ActiveCohort,1649,0
active_collab,13934,0
active_collection,45566,0
active_column,42825,0
activecommand,4839,0
active_command,1226,0
active_comparison_validator,7240,0
active_component,5335,0
active-component,40256,0
active_concurrency,984,0
active_conductor,35951,0
activeconfig,42888,0
active_configuration,19776,0
active_conformity,53211,1
active_connection,8448,0
active_console,6400,0
active_container,2345,0
active_content,12541,1
activecontext,13831,0
active_control,8897,0
active_copy,4889,1
activecouch,9542,0
active_count,1075,0
activecrew,1852,0
active_crudify,8516,0
activecrypto,4653,0
active_csv,15498,0
activecube,21946,12
activecube-graphql,13531,6
active_cucumber,26202,0
active_currency,671143,1109
active_cursor,192,2
active_data,290659,21
active_data_frame,8477,0
active_data_migrations,8451,0
active_datastore,24331,0
active_data_tables,9204,0
active_date_range,1157,4
active_decimal,6237,0
active_decorator,2212628,592
active_decorator-graphql,16968,0
active_decorator-rspec,433774,26
active_decorator_with_decorate_associations,50135,2
active_delegate,21776,1
active_delivery,158611,22
active_delivery_rpush,2069,0
active_designer,6228,0
active-designer,2882,0
active_device,56603,0
active_diigo,26532,0
activedirectory,31067,0
active_directory,170205,0
ActiveDirectoryForRuby,9505,0
active_directory_login,34262,0
activedoc,771,1
active_doc,8718,0
activedocument,99921,0
active_document,22679,0
active_documentum,31143,0
active_domain,38866,7
active-domain,2349,0
active-domain-active-record,2357,0
active-domain-rails,2406,0
active-dump,18539,0
activeduty,1832,0
active_dynamic,18262,0
active-dynamo,576,0
active_dynamodb,8737,0
active_elastic_job,807746,644
active_elastic_job2,12749,2
active_elastic_job_clone,1648,0
active_elastic_job_fifo,1225,0
active_elastic_job_for_fifo,1223,0
active_elastic_job_gunner,436,0
active_emoji,5355,0
active_encode,130871,19
active-encode,2684,0
active_encryption,1553,0
active_endpoint,1776,0
activeentity,18165,24
active_entity,11219,0
active_entry,3728,8
active_enum,416348,11
active_enumerable,9300,0
active_enumeration,5811,0
active_error,4511,0
active_errors,1769,0
active-es,1759,0
active_esp,6431,4
activeetl,1459,0
activeevent,1464,1
active_event,38885,7
active_events,1395,0
active_event_store,5380,2
active_excel,999,0
ActiveExcel,9646,0
active_exchange,65060,4
active_explorer,5307,0
activeexport,2344,0
active_export,28600,0
active_extend,27111,0
activeextract,616,0
active_facet,1978,0
active_facets,6895,0
active_factory,8478,0
activefacts,148644,0
activefacts-api,124087,0
activefacts-compositions,25762,0
activefacts-cql,15697,0
activefacts-examples,8792,0
activefacts-generators,13166,0
activefacts-metamodel,29226,0
activefacts-orm,10221,0
activefacts-rmap,8651,0
active-fedora,1379617,157
activefedora-aggregation,30519,0
active_fedora-crosswalks,23347,0
active_fedora-datastreams,21173,0
active_fedora_finders,45293,0
active_fedora-noid,109241,6
active_fedora-registered_attributes,67085,1
active_fedora_relsint,30336,0
active_fedora_streamable,28620,0
activefile,26877,4
active_file,19885,0
active_file_record,4258,3
active_filter,47975,0
active_filters,4000,0
active_filtr,2914,0
active_finite,81319,0
active_fixture,5537,0
active-fixtures,6551,0
active_flag,100728,42
active_flags,9943,1
active_flow,1627,0
activefolder,23162,0
activeforce,53568,0
active_force,72759,7
activeforecast,8584,0
activeform,8167,0
active_form,43788,0
active_form_model,6193,2
active_form_objects,20156,2
activeform-rails,27174,1
active_forms,37451,0
active_frontend,572874,0
active_fulfillment,307128,14
active_generator,63292,0
active_geo_db,12626,0
active_gfx,2929,0
activegist,44262,0
active_git,46136,0
activegraph,60134,29
active_graph,34220,0
activegraphql,20108,0
active_graphql,101317,2
activegrid,67411,0
activegroonga,119450,0
activegroonga-fabrication,8746,0
active_guards,5641,0
active_guid,34643,0
active_harmony,8798,0
active_hash,5645646,811
active_hash_ext,6607,0
active_hash_fields,9563,0
active_hash-kaminari,3973,0
active_hash-like,5485,0
active_hash_relation,95624,8
active_has_many,2627,0
active_helper,41041,0
activehistory,6715,0
activehook,17433,0
activehook-server,14687,0
active_house,38893,2
active_i18n,3129,0
activeid,944,0
active_illusion,8683,0
active_image_persist,1334,0
active_import,62475,0
active_importer,74146,19
active_index,9129,0
active_interaction,1642513,186
active_interaction-active_job,17706,0
active_interaction-extras,15082,5
active_interaction_mapper,1292,4
activeinteractor,26193,7
active_interactor,8319,0
active_jira,1142,0
activejob,228931001,51531
activejob-argument_mask,14370,0
activejob_arguments,357738,0
active_job-arguments_plus,4322,0
activejob-audited,2503,0
activejob_backport,225260,7
activejob-cancel,109189,31
active_job_channel,5210,0
active_job-cron,2436,0
activejob_delayed_execution,28920,0
active_job-disable,5002,0
activejob-dispatch_rider,14189,6
activejob_disque_adapter,6240,0
activejob_dj_overrides,207547,61
active_job_exception_handler,1545,0
activejob-ffmpeg,2842,0
activejob-google_cloud_pubsub,36464,0
activejob-google-cloud-pubsub,3164,1
activejob-google_cloud_tasks,12864,0
activejob-google_cloud_tasks-http,7725,0
activejob-interactor,1500,0
active_job_kubernetes,158,2
active_job_lock,1887,0
activejob-lock,65513,0
activejob-lockable,31906,0
activejob-locking,41074,4
activejob-locks,8617,0
active_job_log,34660,17
active_job_metadata,3065,0
activejob-multiq,2710,0
activejob-perform_later,68530,22
active_job-query,2824,2
active_job_reporter,3389,0
activejob-resque-disconnect,11906,0
active_job_resque_solo,33158,4
activejob-retriable,15746,0
activejob-retry,1318918,145
active_job-rnf,9008,0
activejob-scheduler,7194,1
activejob_spec,2495,0
activejob-stats,1587,4
active_job_status,121336,64
activejob-status,214826,34
activejob-traceable,47454,2
activejob-trackable,5689,0
activejob-traffic_control,593822,174
activejob-uniqueness,132255,211
activejob-users,6001,0
activejson,28764,0
active_json,1864,0
active_json_cli,3673,0
activek8s,9562,0
active-keso,9040,0
active_kv,2722,0
active_lastfm,16172,0
active_layer,17507,0
activeldap,536518,33
activeldap3,10898,0
active_ldap-dynamic_finders,3709,0
activeldap-fabrication,14787,2
active_leonardo,83345,2
active_link_to,3901781,824
active_list,95109,0
active-list,101543,0
active_loader,2903,0
active_loaders,2747,0
active_locale,1268,0
activelogger,8576,0
active_logger,6683,0
active_logic,3233,0
activelove,2376,0
active_lucene,32920,0
active_mac,9106,0
active_mailbox,5443,0
active_mailer,50735,0
active_mapper,5940,0
active_mappers,30507,0
active_material,1733529,460
active_material_icon,1700,0
activemdb,46605,0
active_median,884633,128
active_memoize,7396,0
active_memory,1186,0
activemenu,94467,0
activemerchant,11562340,1500
activemerchant-abn-ideal,3421,2
activemerchant_alipay,8252,0
active_merchant_allpay,11006,0
activemerchant-anz-gateway,8478,0
activemerchant-argus,2019,0
activemerchant_banklink,43584,0
activemerchant-bpoint,24711,0
active_merchant_card_flex,34813,0
active_merchant_ccavenue,19656,0
activemerchant-clickandbuy,15201,0
active_merchant_cyber_source_subscriptions,26181,0
active_merchant_ebs,4358,0
active_merchant_ecpay,1276,0
active_merchant-epsilon,53624,4
activemerchant-est,16558,0
active_merchant_every_pay,2082,0
ActiveMerchant-FatZebra,15901,0
active_merchant_first_data,25316,0
activemerchant-flexpay,4108,0
active_merchant_ideal,68178,0
active_merchant_ideal_multicert,8628,0
activemerchant-kiddy,3315,2
active_merchant_mollie,15229,0
activemerchant_moneybookers,17273,0
activemerchant-nsp,7801,0
active_merchant_ogone,25941,0
activemerchant_patch_for_china,67389,0
active_merchant_pay2go,15520,0
activemerchant_paybox_direct_plus,18449,0
active_merchant_payline,139679,0
activemerchant-payline,949,0
activemerchant-paymentech-orbital,49620,0
active_merchant-paypal-bogus-gateway,2992,0
active_merchant_payu_in,9111,0
active_merchant_payu_india,6743,0
active_merchant_payumoney_com,3689,0
activemerchant-payway,13645,0
activemerchant-realex3ds,9243,0
active_merchant_sermepa,8257,0
active_merchant_spgateway,2079,0
active_merchant_square,91408,0
active_merchant_tranzila,8894,0
active_merchant_webpay,27665,0
active_merge,24011,0
active_message,7008,1
activemessaging,166059,2
activemessaging-kestrel-adapter,69458,0
activemessenger,2428,0
active_metadata,339886,0
active_metric,10093,0
active_metrics,4202,0
active_mobile,7314,0
active_mocker,193230,28
activemodel,326775648,65728
active-model-adapter-source,241133,16
active_model_archive,141977,1
active_model_as_json_filter,3552,0
active_model_association_adapters,16228,0
activemodel_association_adapters,8371,0
activemodel-associations,173696,4
active_model-attribute,5521,0
activemodel-attribute_changed_specification,15443,0
active_model-attribute_reader,1138,0
active_model_attributes,307926,26
active_model_attributes_backport,88249,0
active_model-attributes_validation,4708,0
activemodel-base64_validator,43283,0
activemodel-behavior_validator,48695,0
active_model-better_errors,568426,14
active_model_cachers,33250,5
activemodel-can_validator,4676,0
active_model_coercions,2441,0
activemodel-csv_validator,3618,3
activemodel-datastore,17357,0
activemodel_detailed_errors,2786,0
activemodel-email_address_validator,6755,0
active_model-email_confirmation,11221,0
active-model-email-validator,32235,0
activemodel-error,8003,0
activemodel-error_messages_without_attributes,2285,0
active_model-errors_details,1105719,82
activemodel-errors-tree,2825,0
activemodel_errors_type,8701,0
active_model_exporters,31906,2
active_model_extensions,7925,0
activemodel-extra_validations,457,2
activemodel_flags,16083,0
activemodel-form,43094,0
active_model_form_objects,16913,0
activemodel-globalid,46093,0
activemodel-immutable_validator,44866,0
activemodel-interdependence,2845,0
activemodel-ip_address_validator,2750,0
activemodel-ipaddr_validator,58072,0
active_model_jobs,2671,0
active_model-jobs,8629,0
activemodel_json_validator,3397,0
active_model_lint-rspec,4163,0
active_model_listener,49223,0
activemodel-logger_attributes,4805,0
active_model_normalizr,7279,0
activemodel_object_info,573,2
active_model_otp,1907457,230
active_model-password,11459,0
active_model-password_reset,31130,0
active_model-permalink,3029,0
active_model_policy,7773,0
active_model_presenter,2095,0
active_model_presenters,801,1
active_model_pusher,7930,0
active_model_secure_token,2906,0
active_model_serializer_helpers,4568,5
active_model_serializer-matchers,15896,0
active_model_serializer_plus,4179,0
active_model_serializers,48702573,7268
active_model_serializers_binary,10726,0
active_model_serializers-cancan,80966,0
active_model_serializers_cancancan,68582,1
active_model_serializers_contrib,11026,0
active_model_serializers_custom,937,0
active_model_serializers-hash_wrapper,1596,0
active_model_serializers-jsonapi_embedded_records_deserializer,15226,0
active_model_serializers_matchers,52946,0
active_model_serializers-matchers,15688,0
active_model_serializers-namespaces,1977,1
active_model_serializers_pg,9257,4
active_model_serializers_rails_2.3,17810,3
active_model_serializers_validator,40970,0
active_model_serializers_vuetables,3393,0
activemodel-serializers-xml,23307615,5100
active_model-session,15183,0
active_model-shaz,35458,3
activemodel_translation,6771,0
activemodel_type_symbol,2256,0
active_model_type_validator,2376,0
activemodel_unique_errors,6939,0
active_model-unvalidate,134862,1
activemodel-url_validator,51004,0
active_model_validates_intersection_of,70383,35
active_model_validations,4489,0
active_model-validations-model_validator,1582,0
active_model_validations_reflection,1329,4
active_model_validators,21543,0
activemodel-validators,16646,0
active_model_validators_ex,17783,0
active_model_version_serializers,38992,1
active_model_warnings,9488,0
activemodel-warnings,24476,0
active_modularity,12290,0
active_mongo,50028,0
active_mongoid,17979,0
activemonitor,3605,0
active_monitoring,1529,0
activemq,7720,0
active_musicbrainz,38681,0
activenavbar,9433,0
active_navigation,13252,0
activenetsuite,9023,0
active_node,92249,1
active_nomad,68944,0
active_normalizer,1144,0
active_nothing,2735,0
activenotifier,4584,0
active_notifier,6053,1
active_null,132920,0
active_null_object,8186,0
active_nutrition,20812,0
activeobject,17109,0
active_object,116971,0
active_objects,1210,0
active_olap,31509,0
activeoopish,11364,0
active_operation,214723,0
active-orient,12911,0
active_orm,29165,0
activeoutline,2163,0
activeoutline_client,1266,0
activepage,8217,0
active_paginator-rails,755,1
active_params,6596,0
active_path,6341,0
active_path-path_hints,2876,0
active_path-view_injection,3726,0
active_pattern,2816,0
activepayment,55045,0
active_payment,17002,0
active_paypal_adaptive_accounts,12389,0
active_paypal_adaptive_payment,214397,8
active_period,1810,5
active_permalink,8608,1
active_permission,9402,0
activepesel,26041,0
active_pg_log,344,3
active_pivot,11475,0
active_policy,3309,0
active_poro,15488,0
activeportal,6331,1
active_present,2682,0
active_presenter,334398,20
active_presenter_generator,15295,0
active_presenters,94753,0
active_press,67850,0
active_preview,5837,0
active-profiling,24326,1
active_projection,37974,7
active_propagation,21960,0
active_proxy,2406,0
active_pstore,27807,1
active_public_resources,34921,0
active_publisher,94444,39
active_pubsub,21292,0
active_pubsub_rails,1632,5
active_qless,551,2
activequery,3504,0
active_query,2781,0
active_queryable,957,0
activequeue,128744,0
activerabbit,1641,1
activerain-clearance,7900,0
activerain-mongrel_runit,3051,0
activerdf,160873,4
activerdf_jena,9630,0
activerdf_net7,74790,0
activerdf_rdflite,72905,0
activerdf_redland,41820,0
activerdf_rules,17206,0
activerdf_sesame,33475,0
activerdf_sparql,86476,0
active-react-admin,2028,0
active_reaper,14619,0
active_recall,9349,7
activerecord,317523640,59278
activerecord_0216002,1248,0
activerecord2-hstore,87076,1
activerecord4-redshift-adapter,901450,10
activerecord5_delay_touching,4678,0
activerecord5-redshift-adapter,978259,310
activerecord6-redshift-adapter,444775,48
active_record_abstract_class,3373,0
activerecord_accessible_json,7225,45
activerecord_acrawriter,3779,0
activerecord-activesalesforce-adapter,17667,0
activerecord_activity_tracker,1174,0
active_record-acts_as,696469,26
active_record_addons,2930,0
activerecord-adonet-sqlserver,25824,0
activerecord-advantage-adapter,16026,2
activerecord-after-transaction,99190,3
activerecord-alias_association,2782,0
active_record-allow_connection_failure,8404,0
activerecord-alt-mongo-adapter,9412,0
activerecord-always_reset_column_information,1366,0
activerecord-amalgalite-adapter,9063,0
activerecord-amazon-timestream-adapter,2295,2
activerecord-analyze,55435,189
active_record_analyzer,2953,0
active_record-annotate,30240,0
active_record-any_links,2769,0
activerecord_any_of,526957,14
active_record_api-request,41019,2
active_record_api-rest,81091,0
activerecord_archive,1257,0
activerecord-archiver,23393,0
active_record_arrangeable,20001,2
active_record_association_query_economizer,9658,0
active_record_associations_module_name,463,2
active-record-atomic,3150,0
activerecord-attribute_converter,8947,0
activerecord-attribute_override,7891,0
activerecord-attributes,8503,0
active_record_attributes_equality,21935,2
active_record_attributes_stripper,12940,0
activerecord-attr-stripper,2958,0
active_record_auditor,22667,0
activerecord-aurora-serverless-adapter,7711,0
activerecord_authorails,9276,0
active_record_auto_build_associations,15886,0
activerecord-auto_defaults,9134,0
activerecord-auto_filter,3235,0
activerecord_autoreplica,155094,0
activerecord-autoscope,5056,0
activerecord-aws_data_service_mysql-adapter,1539,0
activerecord-aws-secret-connector,2861,0
active_record_base_without_table,28546,0
activerecord_base_without_table,5355,0
active_record_batteries,3355,0
activerecord-belongs_to_if,122158,6
activerecord-be_readonly,358204,8
active_record_better_dependent_error_messages,39581,2
active-record-binder,27766,0
activerecord-bitemporal,988,0
activerecord-bitemporal-tablize,1462,6
activerecord-bit_field,2937,0
active_record_bitmask,7012,0
activerecord-bixformer,60804,0
activerecord-blanks,2567,0
active_record_block_matchers,14676,0
activerecord-blockwhere,26946,0
activerecord-bogacs,38206,0
activerecord-bq-adapter,7932,0
activerecord-bracket,7258,0
active_record-bsearch,1475,0
active_record_bulk_insert,184252,10
activerecord-bulk_insert,2380,0
activerecord_bulkoperation,15897,0
activerecord-bulkwrite,27460,0
active_record_cache,8670,0
activerecord_cache,55812,0
activerecord-cached_at,27791,2
activerecord_cache_store,48608,0
active_record_caching,3445,0
active_record_calculator,53299,0
activerecord-callback_notification,7907,0
active_record_callbacks_cop,3633,0
active_record_callbacks_debug,1152,2
activerecord_cashier,3562,0
activerecord-cassandra-adapter,10534,0
activerecord-cause,433879,179
activerecord_chains,1169,0
activerecord-chemistry,2466,0
activerecord_chronological_records,21343,0
activerecord-clean-db-structure,148436,4
activerecord_clone,35031,0
activerecord_cloneable,40890,3
activerecord-cockroachdb-adapter,276386,141
activerecord-coders,8347,0
activerecord-collection_cache_key,56712,0
activerecord-collections,51899,0
activerecord-colored_log_subscriber,133125,15
activerecord_column_comment,14989,0
activerecord-column_metadata,12008,0
activerecord-column-reader,23202,0
activerecord-commentator,54256,1
active_record-comments,20448,0
activerecord-comments,6145,0
activerecord-committed_observer,34188,0
activerecord-compatible_legacy_migration,453457,270
activerecord_composed_of_enum,22361,0
active_record_composition,21395,0
activerecord-concernable,7423,0
activerecord-concurrent-index,12792,0
activerecord-configurations,8244,0
activerecord-confirmable,7831,0
active_record_connectionless,8906,0
activerecord-connection_pool_instrumenter,2257,0
active_record-connection_proxy,585,0
activerecord-connections,61632,8
activerecord_constraints,15375,0
