name,total_downloads,daily_downloads
ab_panel,73758,3
a_b_plugin,11245,0
abprof,7304,0
abr,2895,0
abra,6614,1
abracadabra,58799,16
abraCadabstrax_palindrome,1448,1
abraebare,3247,0
abraham,30515,6
abraham_palindrome,746,0
abrakabuki,1428,0
abrasf-desif,5913,0
abricot,7691,0
abril_heartbeat,9667,0
abrio,11006,0
abrizer,8894,0
abr_lookup,18716,0
abroad,38418,0
abro_studio_game,1605,0
abrt,48136,3
ab_rules,5007,0
abrupt,15115,0
absa-esd,27620,0
absa-h2h,94016,0
absa-notify-me,60241,0
abscondment-rubyvor,3842,0
abscondment-statistics2,4356,0
abscss,20226,0
absee,66579,0
absentee_camper,47691,0
absgit,24141,0
absinthe,14351,0
absolute,38188,0
absolutely,81956,89
AbsoluteRenamer,130865,0
AbsoluteRenamer-date,10700,0
AbsoluteRenamer-system,11514,0
absolute_time,574571,177
absolution,14298,0
absolutize,112132,0
absolver,1058,0
absorb,13649,0
absorb_api,24720,0
absperf-collectd_server,6832,0
absperf-dm-ssbe-adapter,3659,0
a_b_split,16076,0
ab-split,2649,0
abst,8418,0
abstats,9250,0
abst_int,3517,0
abstract,7505163,23
abstracta,3492,0
abstractable,12231,0
abstract_analyzer,39175,0
abstract_api_wrapper,9103,0
abstract_auth,34653,0
abstract_base,1284,0
abstract_builder,1660,0
abstract_class,77828,8
abstract_command,8084,0
abstract-data-types,4137,0
abstracted,68859,0
abstract_feature_branch,116257,0
abstract_google_client,3385,0
abstract_graph,12389,0
abstractifier,3022,0
abstract_image,2635,0
abstract_importer,33046,1
abstract_interface,56354,0
abstract-interface,10393,0
abstraction,127067,4
abstractivator,101715,3
abstractive,5626,0
abstractize,8842,0
abstract_mapper,7914,0
abstract_method,627623,264
abstract_notifier,65551,6
abstractor,127703,0
abstracts,14245,0
abstract-sql,34634,0
abstract-tables,48251,0
abstract_type,16787683,2589
abstract_validator,2977,0
abstrakt,1433,0
abstriker,5258,0
absurdity,26014,0
ab_switcher,14036,0
ab-switcher,2330,0
abt,34457,0
abtain_billing,29675,0
abt-cli,13269,17
abtest,37064,0
ab_tester,7524,0
ab_tests,14627,0
abtion-aid,5868,0
abtion-scripts,2306,0
abucoins,5538,0
abuelo,6365,0
abuiles-geokit,9599,0
abundance,235899,0
Abundance,10686,0
abuseipdb-rb,2653,1
abyme,6929,10
abyss,51245,0
academic,38100,0
academical-api-client,2389,0
academic_benchmarks,465654,17
academic-cv-jekyll,2974,7
academic_degree,6172,0
academic-jekyll-theme,561,3
academico,24045,0
aca-device-modules,15789,0
Acai,7565,0
acamargo-geoip_city,19147,0
aca-omniauth-jwt,1473,0
aca-omniauth-jwt-blocking,1486,0
acapela,8682,0
acapi,4873,0
acappella,5695,0
acasi_api,4021,0
acbaker,26833,0
acbgm,1569,0
acc,21241,0
acceleration,1703,0
accelerator,14594,0
accel-gcthread,3195,1
accent-buster,21663,0
accentless,327813,0
accent_to_ascii,4536,0
acceptable,28204,0
acceptable_api,17046,0
acceptance,9034,0
acceptance_test,233071,0
acceptance_test2,4566,0
acceptance_testing,12767,0
acceptance_tests_support,12970,0
accept_headers,47494,0
acception-client,9197,0
acception-subscriber,11889,0
accept_language,26510,7
accepton,8448,0
accepts-flattened-values,44146,0
accepts_nested_ids,11935,0
accepts_nested_serialized_attributes,6643,0
accept_timezone,2521,0
accept_values_for,374764,7
accern,6662,0
accesible_uy,9049,0
access,162432,1
access_checker,1214,0
access_control,12014,0
AccessControl,8577,0
access-derivatives,2297,0
access-granted,224210,9
access-granted-rails,10346,0
accessibility,13142,14
accessibility_bridge,14000,0
accessibility_core,96841,0
accessibility_keyboard,10733,0
accessible,4990,0
accessible_attribute_matcher,29438,0
accessible_attributes,59886,0
accessible_books,2585,4
accessible-books,2116,0
accessible-bootstrap3-rails,21802,0
accessible_data,1791,0
accessible_for,47561,0
accessible_hash,4654,1
accessible_seed_yaml,8221,0
accessible_tooltip,28960,0
accession,12690,0
accessitude,29618,0
access_kit,36778,0
access_lint,33795,0
accesslint-ci,60294,0
access_loggable,17583,0
access_logging,25633,0
accessly,12727,2
access_manager,29407,0
accessor,9077,0
accessor_extender,4630,0
accessorize,10238,0
accessor_utilities,34963,0
accessor-utilities,40794,0
accessory,4500,0
access_policy,15981,0
access_policy_rails,6747,0
accessrange,9111,0
access_roles,2587,0
access_rules,8882,0
access_schema,131494,0
access_stack,3584,0
access-styles,32983,0
